,lat,lon,tavg,tmin,tmax,prcp,wspd,pres,tsun
2851,57.147042828489205,65.65913433714631,1.5416666666666667,-3.4499999999999993,6.541666666666667,38.74166666666667,,,
2852,55.79380361652617,37.603760018585696,5.091666666666668,1.2250000000000003,8.941666666666666,57.333333333333336,,1015.7583333333333,
2853,55.74803817800572,49.13395678557012,4.541666666666668,-0.2250000000000001,9.3,45.666666666666664,,1016.7583333333336,9655.0
2854,51.52327405791793,45.980581370034514,6.749999999999999,2.508333333333333,10.975,35.166666666666664,,1018.1583333333334,9955.0
2855,56.79106838347632,60.516598625904216,2.6666666666666665,-1.6416666666666664,6.958333333333336,40.583333333333336,,1017.1583333333332,9215.0
2856,59.20270267483036,39.88707633553129,2.766666666666667,-1.5833333333333333,7.099999999999999,46.75,,1014.1833333333335,8460.0
2857,58.03626695732995,56.312877536569566,2.1916666666666664,-2.1,6.483333333333334,49.75,,1016.2416666666668,9040.0
2858,55.64613040243914,37.52779057043179,5.091666666666668,1.2250000000000003,8.941666666666666,57.333333333333336,,1015.7583333333333,
2859,51.63845894006906,39.26661735592608,6.25,1.8833333333333337,10.641666666666666,47.833333333333336,,1017.1249999999999,9485.0
2860,56.2358492211646,43.86369369928176,4.333333333333333,0.641666666666666,8.041666666666666,51.050000000000004,,,
2861,54.25688246170264,48.32239202483756,,,,39.525,,,
2862,59.83202853719608,30.50795036715733,5.099999999999999,1.8416666666666668,8.333333333333334,51.75,,1013.2083333333335,8180.0
2863,55.85759184056458,37.640816216816425,5.091666666666668,1.2250000000000003,8.941666666666666,57.333333333333336,,1015.7583333333333,
2864,55.051705806359415,73.31289269022264,1.5249999999999992,-3.4833333333333343,6.541666666666667,31.666666666666668,,1018.3916666666668,10805.0
2865,54.96429949077681,82.89832339510417,1.2749999999999992,-3.9416666666666664,6.466666666666668,35.14166666666666,,,
2866,55.00108142956606,82.95108868928888,1.2749999999999992,-3.9416666666666664,6.466666666666668,35.14166666666666,,,
2867,59.209570178053504,39.8324321443396,2.766666666666667,-1.5833333333333333,7.099999999999999,46.75,,1014.1833333333335,8460.0
2868,56.79477026431122,53.18324005541788,2.6749999999999994,-1.6666666666666659,7.041666666666667,44.1,,,
2869,45.03777268452036,39.10411076380319,12.058333333333332,6.949999999999999,17.15833333333333,58.550000000000004,,,
2870,53.34919981846496,83.76426647698953,2.383333333333334,-2.9666666666666663,7.741666666666668,34.916666666666664,,1020.8000000000001,10970.0
2871,60.00452985540735,30.25363832281098,5.099999999999999,1.8416666666666668,8.333333333333334,51.75,,1013.2083333333335,8180.0
